root;sendfile;compression;noCompression;serverCache;keepalive;basicAuth;tls;ecdsaCertificate;aesTls;tlsMoreBits;mpm;event;worker;processCount;compressionLevel;threadCount;performance;energy
1;1;0;1;0;0;0;0;0;0;0;1;0;1;32;1;32;4.011600;158.200000
1;1;0;1;0;0;0;0;0;0;0;1;0;1;64;1;32;4.127600;168.400000
1;1;0;1;0;0;0;0;0;0;0;1;0;1;16;1;64;2.793000;117.000000
1;1;0;1;0;0;0;0;0;0;0;1;0;1;32;1;64;2.827200;98.600000
1;1;0;1;0;0;0;0;0;0;0;1;0;1;64;1;64;2.727000;99.400000
1;1;0;1;0;0;0;0;0;0;0;1;0;1;8;1;128;2.737600;105.600000
1;1;0;1;0;0;0;0;0;0;0;1;0;1;16;1;128;2.800000;105.200000
1;1;0;1;0;0;0;0;0;0;0;1;0;1;32;1;128;2.730800;98.000000
1;1;0;1;0;0;0;0;0;0;0;1;0;1;64;1;128;2.723600;108.800000
1;1;0;1;0;0;0;0;0;0;0;1;0;1;8;1;256;2.774800;102.600000
1;1;0;1;0;0;0;0;0;0;0;1;0;1;16;1;256;2.745200;103.400000
1;1;0;1;0;0;0;0;0;0;0;1;0;1;32;1;256;2.718200;113.200000
1;1;0;1;0;0;0;0;0;0;0;1;0;1;64;1;256;2.770200;109.000000
1;1;0;1;0;0;0;0;0;0;0;1;1;0;64;1;16;2.755200;118.000000
1;1;0;1;0;0;0;0;0;0;0;1;1;0;32;1;32;2.801200;111.400000
1;1;0;1;0;0;0;0;0;0;0;1;1;0;64;1;32;2.747200;99.400000
1;1;0;1;0;0;0;0;0;0;0;1;1;0;16;1;64;2.755800;121.800000
1;1;0;1;0;0;0;0;0;0;0;1;1;0;32;1;64;2.789400;113.000000
1;1;0;1;0;0;0;0;0;0;0;1;1;0;64;1;64;2.736000;122.800000
1;1;0;1;0;0;0;0;0;0;0;1;1;0;8;1;128;2.743200;120.800000
1;1;0;1;0;0;0;0;0;0;0;1;1;0;16;1;128;2.985000;108.600000
1;1;0;1;0;0;0;0;0;0;0;1;1;0;32;1;128;2.794400;95.800000
1;1;0;1;0;0;0;0;0;0;0;1;1;0;64;1;128;2.843600;103.200000
1;1;0;1;0;0;0;0;0;0;0;1;1;0;8;1;256;2.705000;103.800000
1;1;0;1;0;0;0;0;0;0;0;1;1;0;16;1;256;2.811200;94.400000
1;1;0;1;0;0;0;0;0;0;0;1;1;0;32;1;256;2.873600;101.000000
1;1;0;1;0;0;0;0;0;0;0;1;1;0;64;1;256;2.833000;112.800000
1;1;0;1;0;0;1;0;0;0;0;1;0;1;64;1;16;32.555200;900.000000
1;1;0;1;0;0;1;0;0;0;0;1;0;1;32;1;32;26.715200;784.000000
1;1;0;1;0;0;1;0;0;0;0;1;0;1;64;1;32;27.162000;809.600000
1;1;0;1;0;0;1;0;0;0;0;1;0;1;16;1;64;14.293000;555.000000
1;1;0;1;0;0;1;0;0;0;0;1;0;1;32;1;64;14.146400;538.000000
1;1;0;1;0;0;1;0;0;0;0;1;0;1;64;1;64;8.983800;413.000000
1;1;0;1;0;0;1;0;0;0;0;1;0;1;8;1;128;18.001200;613.000000
1;1;0;1;0;0;1;0;0;0;0;1;0;1;16;1;128;14.388800;546.600000
1;1;0;1;0;0;1;0;0;0;0;1;0;1;32;1;128;14.303200;555.800000
1;1;0;1;0;0;1;0;0;0;0;1;0;1;64;1;128;14.333600;549.400000
1;1;0;1;0;0;1;0;0;0;0;1;0;1;8;1;256;14.101000;549.000000
1;1;0;1;0;0;1;0;0;0;0;1;0;1;16;1;256;14.413800;570.800000
1;1;0;1;0;0;1;0;0;0;0;1;0;1;32;1;256;13.939400;546.800000
1;1;0;1;0;0;1;0;0;0;0;1;0;1;64;1;256;13.768200;537.600000
